Year,Total Deaths,Passenger vessel,Freight vessel ,Industrial,Recreational boating 
1960,N,,,,739
1965,N,,,,1360
1970,1418,,,,1418
1975,1466,,,,1466
1980,1360,,,,1360
1985,1116,,,,1116
1990,865,,,,865
1991,924,,,,924
1992,816,,,,816
1993,800,,,,800
1993,784,,,,784
1994,829,,,,829
1995,709,,,,709
1996,821,,,,821
1997,815,,,,815
1998,734,,,,734
1999,701,,,,701
2000,681,,,,681
2001,890,48,48,44,750
2002,844,52,39,50,703
2003,815,55,37,47,676
2004,829,52,33,47,697
2005,883,91,37,45,710
2006,842,79,42,36,685
2007,854,65,34,46,709
2008,865,62,30,37,736
2009,821,87,22,40,672
2010,904,96,18,32,758
2011,765,84,14,16,651
2012,650,26,19,45,560
2013,674,14,18,32,610
2014,700,15,41,18,626
2015,737,7,12,17,701
2016,709,8,11,32,658
2017,682,24,10,15,633
2018,707,44,10,40,613
2019,851,44,7,33,767
2020,851,44,7,33,767
